latitude,longitude,address,year,bedrooms,full_bth,half_bth,square_foot,res,condo,yr_built
42.39041,-71.00373,1 3 SEA VIEW AV 02128,2021,4,2,0,5000,1,0,1928
42.39048,-71.00391,5 7 SEA VIEW AV 02128,2021,5,2,0,5000,1,0,1925
42.39056,-71.00405,9 11 SEA VIEW AV 02128,2021,3,2,1,5000,1,0,1980
42.39124,-71.00044,    WALDEMAR AV 02128,2021,5,1,1,2750,1,0,1989
42.39124,-71.00044,    WALDEMAR AV 02128,2021,3,1,0,4590,1,0,1968
42.39015,-70.99985,19 21 ORIENT AV 02128,2021,6,2,0,6500,1,0,1920
42.39112,-71.00189,65 67 FAYWOOD AV 02128,2021,5,2,0,5000,1,0,1940
42.391374,-71.002574,    FAYWOOD AV 02128,2021,4,2,1,4000,1,0,2013
42.391374,-71.002574,    FAYWOOD AV 02128,2021,4,2,1,4000,1,0,2013
42.391537,-71.002794,87 89 FAYWOOD AV 02128,2021,6,2,0,4000,1,0,1925
42.392369,-71.005383,    CRESTWAY RD 02128,2021,1,2,0,3896,1,0,1930
42.3915,-71.00352,108 110 FAYWOOD AV 02128,2021,6,2,0,4068,1,0,1928
42.39021,-71.000711,37 39 ORIENT AV 02128,2021,6,3,0,2505,1,0,1899
42.39047,-71.00218,9 11 BEACHVIEW RD 02128,2021,6,2,1,5000,1,0,1920
42.39113,-71.00358,    BEACHVIEW RD 02128,2021,4,2,0,5000,1,0,1980
42.39124,-71.00044,    WALDEMAR AV 02128,2021,3,1,1,5000,1,0,1999
42.391871,-71.001814,79 81 WALDEMAR AV 02128,2021,6,2,2,10000,1,0,1995
42.39124,-71.00044,    WALDEMAR AV 02128,2021,4,2,1,5000,1,0,1978
42.37681,-71.03895,289 289A MERIDIAN ST 02128,2021,3,3,1,1400,1,0,1900
42.37691,-71.03895,293 293A MERIDIAN ST 02128,2021,6,3,0,1100,1,0,1930
42.37697,-71.03895,297 295 MERIDIAN ST 02128,2021,6,3,0,980,1,0,1910
42.37709,-71.03881,23 HF23 LEXINGTON ST 02128,2021,5,3,0,2537,1,0,1900
42.37708,-71.03845,31 A31 LEXINGTON ST 02128,2021,6,3,0,2750,1,0,1983
42.377108,-71.038382,    LEXINGTON ST 02128,2021,6,3,0,2275,1,0,1983
42.37723,-71.03832,    LEXINGTON AV 02128,2021,6,2,2,5000,1,0,1991
42.37771,-71.03714,73 71 LEXINGTON ST 02128,2021,5,3,0,1301,1,0,1900
42.37733,-71.03688,62 62A PRINCETON ST 02128,2021,7,3,0,1750,1,0,1900
42.377542,-71.038994,315 315A MERIDIAN ST 02128,2021,5,3,0,960,1,0,1910
42.377769,-71.038991,321 -325 MERIDIAN ST 02128,2021,1,1,0,490,0,1,1900
42.377769,-71.038991,321 -325 MERIDIAN ST 02128,2021,2,1,0,533,0,1,1900
42.377769,-71.038991,321 -325 MERIDIAN ST 02128,2021,1,1,0,522,0,1,1900
42.377769,-71.038991,321 -325 MERIDIAN ST 02128,2021,1,1,0,549,0,1,1900
42.377769,-71.038991,321 -325 MERIDIAN ST 02128,2021,1,1,0,457,0,1,1900
42.377769,-71.038991,321 -325 MERIDIAN ST 02128,2021,1,1,0,443,0,1,1900
42.377769,-71.038991,321 -325 MERIDIAN ST 02128,2021,1,1,0,558,0,1,1900
42.377769,-71.038991,321 -325 MERIDIAN ST 02128,2021,1,1,0,452,0,1,1900
42.377769,-71.038991,321 -325 MERIDIAN ST 02128,2021,1,1,0,445,0,1,1900
42.37798,-71.03731,87 89 MARION ST 02128,2021,8,4,0,1520,1,0,1875
42.378223,-71.039006,335 337 MERIDIAN ST 02128,2021,0,1,0,420,0,1,1910
42.378223,-71.039006,335 337 MERIDIAN ST 02128,2021,1,1,0,467,0,1,1910
42.378223,-71.039006,335 337 MERIDIAN ST 02128,2021,1,1,0,809,0,1,1910
42.378223,-71.039006,335 337 MERIDIAN ST 02128,2021,2,1,0,791,0,1,1910
42.378372,-71.038982,343 345 MERIDIAN ST 02128,2021,6,3,0,1425,1,0,1890
42.378504,-71.038371,26 R TRENTON ST 02128,2021,3,1,1,2200,1,0,1925
42.37819,-71.03865,    TRENTON ST 02128,2021,5,4,0,1600,1,0,2005
42.37889,-71.03893,20 22 EUTAW ST 02128,2021,9,3,0,2081,1,0,1905
42.37939,-71.0388,7 A7 MONMOUTH ST 02128,2021,4,2,0,1250,1,0,1900
42.37954,-71.03838,19 17 MONMOUTH ST 02128,2021,7,3,0,1307,1,0,1880
42.37908,-71.03833,36 38 EUTAW ST 02128,2021,6,2,0,1696,1,0,1910
42.3801,-71.03883,11 13 MARION ST 02128,2021,8,3,0,1450,1,0,1900
42.3801,-71.03772,38 R38 MONMOUTH ST 02128,2021,6,3,0,2500,1,0,1880
42.3801,-71.03772,38 R38 MONMOUTH ST 02128,2021,5,1,1,2500,1,0,1890
42.37936,-71.03792,50 52 MARION ST 02128,2021,8,3,0,1225,1,0,1880
42.37948,-71.038,42 44 MARION ST 02128,2021,6,3,0,2500,1,0,1880
42.37954,-71.03803,38 40 MARION ST 02128,2021,8,3,0,1875,1,0,1880
42.37997,-71.03596,96 98 EUTAW ST 02128,2021,6,2,0,1250,1,0,1880
42.379533,-71.03714,64 R64 EUTAW ST 02128,2021,6,3,1,2500,1,0,1900
42.37884,-71.03759,64 66 MARION ST 02128,2021,3,2,1,3594,0,1,1899
42.37884,-71.03759,64 66 MARION ST 02128,2021,2,2,0,1248,0,1,1899
42.37876,-71.0364,77 75 TRENTON ST 02128,2021,3,1,1,5000,1,0,1900
42.37876,-71.0364,77 75 TRENTON ST 02128,2021,6,3,1,5000,1,0,1900
42.37854,-71.03581,114 R114 LEXINGTON ST 02128,2021,3,1,0,2500,1,0,1910
42.37769,-71.03596,100 102 PRINCETON ST 02128,2021,5,3,0,2500,1,0,1900
42.37898,-71.03304,179 R179 LEXINGTON ST 02128,2021,6,3,0,6000,1,0,1880
42.3787,-71.03323,170 172 PRINCETON ST 02128,2021,6,3,3,5000,1,0,1900
42.37885,-71.03491,134 136 LEXINGTON ST 02128,2021,4,2,0,1084,1,0,1900
42.37956,-71.03299,194 HF194 LEXINGTON ST 02128,2021,5,3,0,1090,1,0,1900
42.379448,-71.035322,110 108 TRENTON ST 02128,2021,8,3,0,1345,1,0,1900
42.37969,-71.03549,173 -179 BROOKS ST 02128,2021,1,1,0,860,0,1,1920
42.37969,-71.03549,173 -179 BROOKS ST 02128,2021,1,1,0,706,0,1,1920
42.37969,-71.03549,173 -179 BROOKS ST 02128,2021,2,1,0,1212,0,1,1920
42.37969,-71.03549,173 -179 BROOKS ST 02128,2021,1,1,0,1012,0,1,1920
42.380209,-71.034104,141 R141 EUTAW ST 02128,2021,3,1,1,3240,1,0,1900
42.380408,-71.034017,145 R145 EUTAW ST 02128,2021,2,1,1,2700,1,0,1900
42.38055,-71.0315,197 R197 TRENTON ST 02128,2021,4,3,0,2900,1,0,1900
42.38019,-71.03177,228 R LEXINGTON ST 02128,2021,3,1,0,1769,1,0,1900
42.38068,-71.03316,102 100 WHITE ST 02128,2021,3,1,0,5808,1,0,1886
42.38153,-71.03116,258 260 E EAGLE ST 02128,2021,9,3,0,3325,1,0,1880
42.38152,-71.03284,210 212 E EAGLE ST 02128,2021,4,2,0,4374,1,0,1991
42.38182,-71.032713,151 149 FALCON ST 02128,2021,4,2,1,4375,1,0,1910
42.381829,-71.037808,    FALCON ST 02128,2021,6,2,2,2187,1,0,2016
42.38181,-71.03198,167 A167 FALCON ST 02128,2021,6,3,0,2187,1,0,1900
42.381809,-71.0318,171 A171 FALCON ST 02128,2021,9,3,0,3281,1,0,1900
42.38181,-71.03161,175 A175 FALCON ST 02128,2021,6,3,0,2187,1,0,1900
42.3821,-71.03179,178 176 FALCON ST 02128,2021,5,2,1,4375,1,0,1920
42.3821,-71.03198,172 170 FALCON ST 02128,2021,8,3,0,2187,1,0,1910
42.38211,-71.03207,168 166 FALCON ST 02128,2021,6,3,0,2187,1,0,1910
42.38212,-71.03216,164 162 FALCON ST 02128,2021,7,3,0,2187,1,0,1910
42.38211,-71.03262,152 A152 FALCON ST 02128,2021,6,2,0,2187,1,0,1910
42.38213,-71.03489,106 108 FALCON ST 02128,2021,6,2,1,2625,1,0,1900
42.38213,-71.03567,90 90 HF FALCON ST 02128,2021,4,2,0,2188,1,0,1916
42.38213,-71.03576,88 A88 FALCON ST 02128,2021,4,3,0,2188,1,0,1900
42.382132,-71.035849,86 A86 FALCON ST 02128,2021,6,2,0,2188,1,0,1920
42.38243,-71.03409,163 165 CONDOR ST 02128,2021,5,2,0,4374,1,0,1900
42.382431,-71.034022,167 169 CONDOR ST 02128,2021,4,2,0,2187,1,0,1890
42.38243,-71.03392,171 173 CONDOR ST 02128,2021,4,2,0,2187,1,0,1900
42.38243,-71.03383,175 177 CONDOR ST 02128,2021,5,2,0,2187,1,0,1900
42.382429,-71.033741,179 181 CONDOR ST 02128,2021,4,2,0,2187,1,0,1900
42.38183,-71.03355,135 A135 FALCON ST 02128,2021,4,2,0,1924,1,0,1900
42.3807,-71.03381,88 R88 WHITE ST 02128,2021,2,2,0,5491,1,0,1910
42.3807,-71.03381,88 R88 WHITE ST 02128,2021,1,1,1,5491,1,0,1900
42.38181,-71.03422,121 A121 FALCON ST 02128,2021,6,3,1,2362,1,0,1900
42.38176,-71.03409,123 A FALCON ST 02128,2021,2,1,1,1294,0,1,1987
42.38183,-71.03373,131 A131 FALCON ST 02128,2021,4,2,0,1937,1,0,1900
42.38183,-71.03364,133 A133 FALCON ST 02128,2021,4,2,0,1937,1,0,1910
42.38118,-71.036885,71 73 W EAGLE ST 02128,2021,6,2,0,3187,1,0,1890
42.38151,-71.036663,76 74 W EAGLE ST 02128,2021,6,2,0,2187,1,0,1940
42.381509,-71.03751,54 A54 W EAGLE ST 02128,2021,6,3,0,2318,1,0,1900
42.38151,-71.03761,52 A52 W EAGLE ST 02128,2021,9,3,0,2319,1,0,1910
42.381557,-71.039045,439 A439 MERIDIAN ST 02128,2021,9,3,0,2875,1,0,1910
42.38182,-71.037981,39 41 FALCON ST 02128,2021,8,3,0,2430,1,0,1910
42.381829,-71.037808,    FALCON ST 02128,2021,4,1,0,2430,1,0,1989
42.381818,-71.037655,49 47 FALCON ST 02128,2021,6,2,0,2430,1,0,1910
42.381822,-71.03755,53 51 FALCON ST 02128,2021,5,2,1,2430,1,0,1910
42.38213,-71.03678,68 68R FALCON ST 02128,2021,5,3,0,2669,1,0,1900
42.382142,-71.037347,56 58 FALCON ST 02128,2021,5,2,0,2187,1,0,1900
42.382143,-71.037417,54 52 FALCON ST 02128,2021,5,2,0,2187,1,0,1920
42.382127,-71.038713,26 24 FALCON ST 02128,2021,7,3,0,2267,1,0,1900
42.38248,-71.03847,47 47B CONDOR ST 02128,2021,8,3,0,4167,1,0,1900
42.38245,-71.037321,79 HF CONDOR ST 02128,2021,3,1,1,2100,1,0,1900
42.382452,-71.03723,81 81A CONDOR ST 02128,2021,4,2,1,3500,1,0,1900
42.381829,-71.03984,7 9 FALCON ST 02128,2021,5,2,0,2698,1,0,1910
42.37928,-71.03947,368 A MERIDIAN ST 02128,2021,7,3,0,2600,1,0,1910
